,BF-BOF,EAF,H2-DRI
2025,0.7,0.25,0.05
2026,0.6984982180763013,0.276076700617344,0.07542508130635456
2027,0.696634069271767,0.30074044268751626,0.10012548804071653
2028,0.6944157808774833,0.32406781366667237,0.12414140545584404
2029,0.6918509314697086,0.34613202789502784,0.14751079063526326
2030,0.6889465011056579,0.36700310907709105,0.1702694523172506
2031,0.6857089269410587,0.3867480613326534,0.19245112110128754
2032,0.68214416513935,0.4054310286632163,0.21408751010368332
2033,0.6782577598874353,0.4231134425959898,0.23520836622751184
2034,0.6740549202330153,0.4398541576978267,0.2558415123445481
2035,0.6695406053049189,0.4557095746007233,0.27601288085597825
2036,0.6647196182623236,0.4707337501560393,0.2957465393051766
2037,0.6595967090346693,0.4849784943442753,0.31506470895841787
2038,0.65417668555755,0.4984934536192811,0.3339877775436632
2039,0.6484645327810735,0.5113261804679251,0.3525343076354709
2040,0.6424655382318187,0.5235221891250956,0.3707210424833316
