,Conventional,Efficient,Alternative
2025,0.6,0.35,0.05
2026,0.6039660740682453,0.3624590792335752,0.07357484669817949
2027,0.6074993767674991,0.37429128397573974,0.09660933925676113
2028,0.6106183595298841,0.38552682253082626,0.11911881793928952
2029,0.6133415998936075,0.3961949756347977,0.14111686447159458
2030,0.6156878427423828,0.4063241121910057,0.1626153474666113
2031,0.6176760280084801,0.4159416983146841,0.18362448398083558
2032,0.619325302993563,0.4250742999861701,0.20415291891210657
2033,0.620655017844226,0.4337475798603306,0.22420782331160932
2034,0.6216847032473132,0.4419862890359567,0.24379501189224934
2035,0.6224340300656047,0.44981425483555687,0.26291907910733686
2036,0.6229227513843115,0.45725436586261986,0.2815835522012271
2037,0.623170628236522,0.46432855576970167,0.29979105866400846
2038,0.6231973410648599,0.4710577872687186,0.31754350462984426
2039,0.6230223896961403,0.4774620379314997,0.3348422600172458
2040,0.6226649851968391,0.4835602892576041,0.3516883456846472
