,BF-BOF_total_cost,EAF_total_cost,H2-DRI_total_cost
2025,1356.0,954.0,1908.0
2026,1355.76,938.52,1813.64
2027,1356.5664,923.5656,1724.0812
2028,1358.491824,909.1421279999998,1639.0901959999999
2029,1361.6148081600002,895.2560438399998,1558.4457866799996
2030,1366.0202725775998,881.9150150592001,1481.9384058643996
2031,1371.8000308163041,869.1279991061759,1409.3695867710517
2032,1379.0533402044305,856.9053324022346,1340.5514567283606
2033,1387.8874961661224,845.2588268004401,1275.3062611314733
2034,1398.418474106875,834.2018740263104,1213.4659154935925
2035,1410.7716226577838,823.7495587331816,1154.871584531102
2036,1425.0824123870593,813.9187808559665,1099.3732873017102
2037,1441.4972444160387,804.7283880018517,1046.8295274935615
2038,1460.174323731895,796.1993186756553,997.1069480403751
2039,1481.2846023726313,788.3547572014814,950.0800093135674
2040,1505.012798073987,781.2203012713459,905.6306902171169
